день,неделя,дата(ориент),платформа,формат,рубрика,тема,статус_согласования,статус_публикации
1,Н1,,Telegram,пост,Визитка,Пост-визитка парка (закреп),черновик,—
2,Н1,,VC/Дзен,статья,Локация,Где разместить производство внутри МКАД,черновик,—
3,Н1,,Instagram+TG,карусель,Оффер,7 причин выбрать Кластер,черновик,—
4,Н1,,Telegram,пост,Локация,Локация и транспорт,черновик,—
5,Н1,,РБК,статья,Вне КРТ,Что такое КРТ и как не потерять производство,черновик,—
6,Н2,,Instagram,reels,Локация,Производство внутри МКАД,черновик,—
7,Н2,,Telegram,пост,Вне КРТ,Вне зоны КРТ,черновик,—
8,Н2,,Instagram,reels,Локация,7 минут до метро,черновик,—
9,Н2,,VC,статья,Технопарк,Технопарк vs промзона,черновик,—
10,Н2,,Instagram+TG,карусель,Параметры,Технические параметры помещений,черновик,—
11,Н3,,Instagram,reels,Параметры,Потолки 12 метров,черновик,—
12,Н3,,Telegram,пост,Технопарк,Статус технопарка,черновик,—
13,Н3,,Instagram,reels,Вне КРТ,КРТ: почему Кластер не сносят,черновик,—
14,Н3,,Дзен,статья,Параметры,Чек-лист выбора помещения,черновик,—
15,Н3,,Instagram+TG,карусель,Инфраструктура,Инфраструктура парка,черновик,—
16,Н4,,Instagram,reels,Инфраструктура,КластерКлаб,черновик,—
17,Н4,,Telegram,пост,Резиденты,Кейс резидента,черновик,—
18,Н4,,Instagram,reels,Возражения,Далеко от центра? 10 минут до МКАД,черновик,—
19,Н4,,РБК,статья,Итоги,Как Кластер развивает пространство,черновик,—
20,Н4,,Instagram+TG,карусель,Как арендовать,Как арендовать за 4 шага,черновик,—
